,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,,
48830013,48830013,1.57,2.30,16.60,33.06,1.05,6817,,,,,,,,
42619869,42619869,2.10,2.57,15.31,36.96,1.41,6782,,,,,,,,
10449846,10449846,1.75,2.32,17.32,35.77,1.39,6696,,,,,,,,
12797577,12797577,2.77,4.26,17.77,35.54,1.10,6384,,,,,,,,
71817834,71817834,4.06,4.36,14.47,37.19,1.48,6558,,,,,,,,
17684525,17684525,1.67,1.94,13.10,36.26,1.00,7118,,,,,,,,
28583861,28583861,3.86,6.04,21.64,33.78,1.62,5926,,,,,,,,
69373674,69373674,1.52,2.91,15.82,35.14,1.43,6874,,,,,,,,
97286042,97286042,1.53,3.15,15.85,34.86,1.41,6854,,,,,,,,
99250260,99250260,2.97,4.62,21.44,33.87,1.63,6102,,,,,,,,
40566868,40566868,2.56,5.01,15.29,37.28,1.06,6681,,,,,,,,
43215610,43215610,6.45,5.85,16.17,37.38,1.39,6019,,,,,,,,
26943922,26943922,2.13,1.99,12.30,38.77,1.29,7032,,,,,,,,
41336642,41336642,3.82,4.08,26.39,31.08,1.61,5560,,,,,,,,
18476920,18476920,1.63,3.16,15.28,34.09,1.09,6948,,,,,,,,
98812939,98812939,3.36,4.60,24.47,32.24,1.81,5799,,,,,,,,
80408521,80408521,1.54,2.43,13.59,36.72,1.44,7108,,,,,,,,
64454721,64454721,2.36,2.70,19.38,33.39,0.96,6461,,,,,,,,
52007346,52007346,2.98,6.41,14.83,39.03,1.53,6507,,,,,,,,
99649593,99649593,1.10,6.51,31.03,25.88,3.21,5494,,,,,,,,
17810324,17810324,1.56,2.24,13.80,37.81,1.56,6980,,,,,,,,
82061171,82061171,4.57,7.37,11.05,40.13,1.25,6600,,,,,,,,
98278782,98278782,2.19,3.72,11.94,38.72,1.30,7019,,,,,,,,
43934421,43934421,6.06,6.84,15.44,38.86,1.51,6095,,,,,,,,
98266859,98266859,6.21,5.75,15.35,36.96,1.41,6129,,,,,,,,
87456286,87456286,1.27,3.66,15.66,35.35,1.31,6881,,,,,,,,
30551174,30551174,6.39,7.02,12.90,38.78,1.27,6274,,,,,,,,
40606572,40606572,1.66,2.68,18.12,35.33,1.83,6617,,,,,,,,
62694006,62694006,1.34,2.58,15.14,33.24,1.41,7031,,,,,,,,
30246188,30246188,1.72,2.42,12.49,38.69,1.54,7065,,,,,,,,
47510932,47510932,2.76,1.98,13.86,38.06,1.29,6842,,,,,,,,
30113331,30113331,2.72,2.10,16.41,35.81,1.20,6676,,,,,,,,
98631828,98631828,2.06,1.00,10.93,39.45,2.59,7214,,,,,,,,
94957098,94957098,5.45,8.35,15.95,38.45,1.40,6007,,,,,,,,
72880884,72880884,6.96,3.07,15.68,37.56,1.68,6101,,,,,,,,
96191982,96191982,4.51,1.73,10.65,38.49,1.58,6934,,,,,,,,
58366309,58366309,8.97,2.65,12.74,37.49,1.19,6143,,,,,,,,
51430330,51430330,2.53,2.12,16.42,34.56,1.44,6712,,,,,,,,
61614319,61614319,3.20,1.57,16.57,37.70,2.08,6484,,,,,,,,
14373189,14373189,2.17,4.96,16.57,38.17,1.31,6496,,,,,,,,
42466124,42466124,1.31,3.78,15.91,37.03,1.35,6766,,,,,,,,
