,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,,
,,,,,,24-feb-10,,,,,,,,,
CONTROL CARBON PROMEDIO 1,,,,,,,,,,,,,,,
MUESTRA,,ANALISIS 05/03/2016 HASTA 18/03/2016 ,,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,,
15185068,15185068,3.08,6.00,20.74,34.91,1.58,6049,,,,,,,,
88083805,88083805,1.55,2.17,14.62,36.40,1.21,6952,,,,,,,,
79103686,79103686,2.10,5.58,18.04,34.29,2.29,6531,,,,,,,,
69659455,69659455,2.21,3.87,16.09,36.48,1.59,6688,,,,,,,,
51194197,51194197,2.85,5.66,18.21,35.16,2.11,6435,,,,,,,,
11755540,11755540,2.33,3.44,14.28,37.48,1.58,6877,,,,,,,,
67283341,67283341,3.79,5.02,20.38,34.64,1.57,6094,,,,,,,,
49716078,49716078,1.63,2.58,17.67,35.08,1.41,6723,,,,,,,,
52380149,52380149,1.57,3.86,17.15,35.10,1.36,6715,,,,,,,,
85225928,85225928,1.57,4.10,22.68,33.00,1.30,6165,,,,,,,,
97283197,97283197,1.48,3.34,15.61,35.41,1.25,6845,,,,,,,,
16729549,16729549,1.57,3.93,23.57,31.92,1.17,6137,,,,,,,,
66049214,66049214,1.39,2.36,15.68,35.21,1.39,6923,,,,,,,,
38462808,38462808,1.83,3.00,14.52,37.28,1.28,6876,,,,,,,,
42225037,42225037,1.96,3.97,19.75,34.69,1.23,6405,,,,,,,,
99598276,99598276,1.24,1.23,15.65,35.56,1.47,6920,,,,,,,,
32107238,32107238,1.43,3.47,14.64,36.40,1.28,6953,,,,,,,,
75432328,75432328,1.22,1.23,18.02,34.63,1.31,6716,,,,,,,,
47900336,47900336,2.84,3.75,13.18,39.09,1.28,6731,,,,,,,,
57060619,57060619,2.07,3.25,17.22,36.01,2.02,6554,,,,,,,,
27339509,27339509,2.48,4.54,12.84,38.56,1.17,6887,,,,,,,,
14136114,14136114,1.77,2.66,14.88,36.22,1.18,6861,,,,,,,,
82713216,82713216,1.40,2.84,17.05,34.71,1.29,6718,,,,,,,,
19948763,19948763,2.56,3.79,17.15,38.31,1.80,6443,,,,,,,,
29441459,29441459,2.56,3.70,12.12,38.75,1.34,6881,,,,,,,,
36174213,36174213,2.52,5.03,12.96,38.43,1.43,6869,,,,,,,,
77432446,77432446,1.51,2.07,16.12,34.54,1.24,6838,,,,,,,,
15613870,15613870,1.52,2.43,16.59,35.48,1.34,6799,,,,,,,,
13668757,13668757,1.85,2.46,11.58,36.38,0.95,7184,,,,,,,,
13880483,13880483,1.88,2.56,16.76,33.58,0.98,6782,,,,,,,,
63223109,63223109,2.04,3.39,16.35,36.21,1.07,6698,,,,,,,,
13049406,13049406,2.71,4.04,18.53,36.65,1.63,6363,,,,,,,,
57145149,57145149,3.62,3.23,11.34,38.61,1.40,6860,,,,,,,,
81537403,81537403,1.56,2.60,14.68,35.31,1.06,7017,,,,,,,,
95259063,95259063,2.30,3.02,16.85,34.61,1.14,6598,,,,,,,,
25996650,25996650,1.76,2.89,12.49,38.65,2.19,7127,,,,,,,,
60253006,60253006,2.26,3.43,10.80,38.45,0.85,7161,,,,,,,,
67497060,67497060,1.83,2.56,12.62,38.40,1.42,7080,,,,,,,,
59582981,59582981,5.42,6.44,16.82,38.00,1.74,6102,,,,,,,,
24974638,24974638,2.13,2.77,13.50,38.60,1.33,6937,,,,,,,,
48501195,48501195,1.88,2.76,18.37,36.09,1.23,6561,,,,,,,,
82282584,82282584,3.40,4.24,13.52,37.53,1.59,6714,,,,,,,,
