,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,,
,,,,,,24-feb-10,,,,,,,,,
CONTROL CARBON PROMEDIO 1,,,,,,,,,,,,,,,
MUESTRA,,ANALISIS  08 AL 20042016,,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,,
78596450,78596450,2.80,11.90,16.35,39.15,1.49,6210,,,,,,,,
44393578,44393578,1.12,2.95,14.87,37.16,1.49,7042,,,,,,,,
16727914,16727914,1.35,5.78,13.16,38.98,1.46,6941,,,,,,,,
20251717,20251717,1.24,6.34,16.19,34.91,2.75,6790,,,,,,,,
50070664,50070664,1.40,4.01,12.20,38.19,1.21,7124,,,,,,,,
42567766,42567766,4.34,9.59,15.35,39.36,1.84,6291,,,,,,,,
31357889,31357889,0.98,4.84,18.02,35.80,1.50,6667,,,,,,,,
26869970,26869970,3.67,9.31,17.31,38.80,1.84,6125,,,,,,,,
35108612,35108612,3.32,8.95,16.21,39.41,1.56,6323,,,,,,,,
30473513,30473513,1.72,3.85,13.22,36.42,1.16,7064,,,,,,,,
79331285,79331285,1.19,5.24,17.74,31.30,2.77,6789,,,,,,,,
66369413,66369413,1.91,3.71,12.93,36.76,1.07,7057,,,,,,,,
34531344,34531344,2.02,3.60,10.90,38.21,1.15,7112,,,,,,,,
38805215,38805215,1.61,5.81,12.86,38.98,1.21,6949,,,,,,,,
69643983,69643983,0.90,5.22,18.97,34.21,1.50,6668,,,,,,,,
21300289,21300289,1.22,5.27,13.04,38.27,1.20,6969,,,,,,,,
60482067,60482067,0.50,2.65,16.60,30.51,1.43,7067,,,,,,,,
66136743,66136743,1.15,5.21,14.64,36.84,1.30,6977,,,,,,,,
20194377,20194377,1.46,6.96,13.11,39.01,1.06,6921,,,,,,,,
51611323,51611323,0.65,2.47,16.93,32.39,0.90,6995,,,,,,,,
72314269,72314269,1.65,3.85,22.95,37.32,1.79,6047,,,,,,,,
24616966,24616966,1.64,6.25,18.19,38.46,1.51,6513,,,,,,,,
95149781,95149781,4.42,9.76,15.66,39.20,1.40,6229,,,,,,,,
59368076,59368076,1.73,3.41,19.89,36.04,1.04,6418,,,,,,,,
26538697,26538697,6.18,6.96,13.68,38.16,1.56,6269,,,,,,,,
51050417,51050417,2.08,5.75,14.13,37.57,1.77,6817,,,,,,,,
26244877,26244877,3.18,8.31,20.99,35.21,1.92,5995,,,,,,,,
23868547,23868547,1.17,2.12,16.35,34.65,1.07,6877,,,,,,,,
22750496,22750496,2.08,5.78,19.07,36.77,2.48,6340,,,,,,,,
34909579,34909579,1.47,2.45,13.84,37.68,2.26,6957,,,,,,,,
14177688,14177688,1.30,4.74,15.22,35.13,1.12,6949,,,,,,,,
77595521,77595521,1.49,5.53,17.00,36.08,1.53,6684,,,,,,,,
86893460,86893460,3.04,8.19,18.49,36.11,1.11,6278,,,,,,,,
88589887,88589887,2.33,4.14,14.77,37.85,1.83,6713,,,,,,,,
75740289,75740289,2.51,4.63,19.53,37.47,2.46,6192,,,,,,,,
24557202,24557202,1.81,5.84,18.12,34.86,1.31,6602,,,,,,,,
42205286,42205286,1.61,3.36,19.77,35.23,2.41,6484,,,,,,,,
43325593,43325593,1.48,3.72,8.59,37.76,1.37,7557,,,,,,,,
53390603,53390603,1.92,7.34,15.93,36.42,2.34,6671,,,,,,,,
46762534,46762534,2.16,7.43,13.23,39.59,2.17,6627,,,,,,,,
52526701,52526701,1.61,4.81,13.11,37.91,1.26,7008,,,,,,,,
52164299,52164299,2.82,6.23,18.66,37.30,1.26,6252,,,,,,,,
59657083,59657083,1.62,5.50,16.74,35.70,1.57,6649,,,,,,,,
51150582,51150582,1.74,5.76,14.59,37.57,1.32,6785,,,,,,,,
39211970,39211970,1.84,6.96,14.84,37.39,1.17,6778,,,,,,,,
73759356,73759356,1.38,4.89,17.59,35.61,1.62,6665,,,,,,,,
82110763,82110763,5.00,10.16,14.40,38.89,1.16,6282,,,,,,,,
35672029,35672029,4.18,10.76,15.09,39.42,1.42,6316,,,,,,,,
18958957,18958957,4.41,9.44,16.05,38.38,1.72,6049,,,,,,,,
86992905,86992905,1.61,6.42,14.92,36.69,1.29,6846,,,,,,,,
92985116,92985116,1.45,2.79,11.82,37.61,1.27,7288,,,,,,,,
29351035,29351035,1.99,5.47,16.42,37.35,1.52,6616,,,,,,,,
63775060,63775060,1.59,5.74,16.30,36.80,0.91,6725,,,,,,,,
25678384,25678384,1.39,3.66,19.60,35.70,1.81,6466,,,,,,,,
69073764,69073764,1.68,4.36,14.85,37.04,1.30,6798,,,,,,,,
70065495,70065495,1.76,4.48,9.80,38.66,1.37,7276,,,,,,,,
78312494,78312494,3.06,4.72,12.17,39.11,1.25,6658,,,,,,,,
87461104,87461104,1.40,3.46,8.71,37.60,1.46,7492,,,,,,,,
83042242,83042242,1.29,3.12,16.20,36.54,1.37,6709,,,,,,,,
90325942,90325942,1.94,4.21,9.16,37.37,1.42,7373,,,,,,,,
66336567,66336567,2.43,3.62,9.60,38.20,1.46,7182,,,,,,,,
