,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,,
,,,,,,24-feb-10,,,,,,,,,
CONTROL CARBON PROMEDIO 1,,,,,,,,,,,,,,,
MUESTRA,,ANALISIS  11 AL 25 DE MAYO DE 2015,,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,,
50914008,50914008,1.03,1.72,21.23,29.57,1.10,6512,,,,,,,,
87865762,87865762,2.11,2.32,15.50,36.15,1.03,6801,,,,,,,,
18853124,18853124,2.73,2.57,12.86,39.12,1.43,6901,,,,,,,,
72898822,72898822,1.52,1.75,13.50,37.38,1.31,7062,,,,,,,,
29570614,29570614,2.50,3.09,15.51,31.97,1.48,6850,,,,,,,,
51681735,51681735,2.53,2.98,11.86,37.93,1.41,7057,,,,,,,,
15813463,15813463,1.80,1.39,15.76,36.90,1.41,6791,,,,,,,,
63598830,63598830,2.03,3.62,14.57,36.57,1.26,6852,,,,,,,,
32634539,32634539,1.98,3.95,15.69,35.82,1.29,6760,,,,,,,,
43304246,43304246,2.83,3.35,12.89,38.52,0.97,6866,,,,,,,,
32565452,32565452,2.99,3.48,12.02,39.34,1.08,6902,,,,,,,,
22659270,22659270,2.09,3.03,18.27,35.43,1.39,6551,,,,,,,,
53617154,53617154,1.81,2.74,12.64,35.05,1.01,7105,,,,,,,,
89186963,89186963,1.92,3.50,15.80,35.78,1.31,6823,,,,,,,,
64621980,64621980,3.38,3.99,13.26,38.91,1.46,6703,,,,,,,,
85500715,85500715,2.97,2.23,10.67,39.98,1.49,7029,,,,,,,,
38684916,38684916,2.90,4.20,16.01,37.91,1.40,6564,,,,,,,,
28151377,28151377,1.82,2.17,12.77,37.63,2.01,7104,,,,,,,,
38224902,38224902,0.93,2.90,16.64,30.89,1.22,6993,,,,,,,,
69291325,69291325,1.39,2.14,12.49,37.78,1.31,7204,,,,,,,,
87752794,87752794,0.94,1.59,25.25,27.93,1.12,6265,,,,,,,,
22702385,22702385,2.80,4.05,14.45,38.04,1.05,6714,,,,,,,,
36632701,36632701,2.10,3.20,16.73,30.80,1.71,6757,,,,,,,,
58040163,58040163,2.42,3.25,17.76,35.44,1.34,6505,,,,,,,,
47986175,47986175,2.62,2.56,14.72,38.90,1.18,6693,,,,,,,,
13572644,13572644,2.01,3.11,10.25,40.00,1.54,7159,,,,,,,,
65451626,65451626,1.34,3.42,13.43,36.88,1.50,7160,,,,,,,,
24190904,24190904,1.93,3.69,17.29,35.31,1.30,6639,,,,,,,,
42918479,42918479,2.02,3.71,19.76,34.43,1.77,6393,,,,,,,,
56575693,56575693,0.84,2.76,17.62,31.25,0.90,6952,,,,,,,,
81050101,81050101,2.20,3.75,17.62,35.99,1.43,6532,,,,,,,,
50958740,50958740,1.39,4.14,16.88,32.81,0.97,6903,,,,,,,,
55172485,55172485,2.14,3.49,14.16,36.98,1.26,6859,,,,,,,,
36752783,36752783,2.38,5.26,16.69,37.45,1.71,6536,,,,,,,,
34858306,34858306,2.18,3.31,16.08,37.47,1.56,6688,,,,,,,,
89084081,89084081,1.86,4.65,17.48,34.68,1.58,6680,,,,,,,,
27186141,27186141,2.61,4.98,15.63,37.66,1.41,6626,,,,,,,,
34813327,34813327,2.89,4.91,23.13,35.38,1.12,5934,,,,,,,,
93112259,93112259,2.42,3.58,9.98,36.12,1.14,7285,,,,,,,,
16985912,16985912,1.66,1.88,13.36,35.33,1.31,7099,,,,,,,,
69421833,69421833,1.58,3.96,15.99,35.46,1.62,6910,,,,,,,,
77556579,77556579,3.11,3.33,18.93,37.26,1.47,6255,,,,,,,,
