,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,,
17538484,17538484,2.13,2.04,15.07,37.56,2.22,6822,,,,,,,,
34752899,34752899,1.05,1.33,17.07,31.24,1.02,6972,,,,,,,,
17862387,17862387,2.15,3.52,14.61,38.95,1.68,6822,,,,,,,,
26155819,26155819,2.01,3.25,14.95,36.76,1.20,6822,,,,,,,,
52528968,52528968,1.92,3.40,15.47,36.28,1.01,6820,,,,,,,,
20086868,20086868,2.37,4.00,12.96,34.81,1.14,7015,,,,,,,,
47791769,47791769,3.86,5.57,13.59,38.56,1.51,6520,,,,,,,,
41529551,41529551,2.24,3.75,12.60,34.39,1.28,7080,,,,,,,,
58250150,58250150,3.08,3.16,11.93,40.27,1.25,6860,,,,,,,,
79202655,79202655,2.11,2.79,13.89,37.53,1.36,6898,,,,,,,,
38648184,38648184,2.26,3.77,10.87,34.75,1.23,7226,,,,,,,,
28967799,28967799,1.75,2.74,16.08,35.23,1.11,6841,,,,,,,,
85657933,85657933,2.59,4.65,16.73,36.54,1.37,6606,,,,,,,,
83054810,83054810,1.22,1.98,23.51,29.76,1.02,6344,,,,,,,,
53753808,53753808,1.80,2.28,15.77,37.54,1.37,6813,,,,,,,,
72522916,72522916,1.77,3.17,14.42,37.73,1.21,6946,,,,,,,,
88409420,88409420,2.47,4.15,16.27,36.96,1.31,6586,,,,,,,,
79156627,79156627,1.90,2.66,15.08,36.79,1.21,6847,,,,,,,,
71234568,71234568,1.87,2.56,17.70,36.73,1.30,6648,,,,,,,,
57731700,57731700,1.82,2.80,13.59,31.93,1.38,7101,,,,,,,,
87000896,87000896,1.92,2.55,12.81,37.53,1.29,7112,,,,,,,,
37260943,37260943,2.40,4.24,11.31,35.16,1.23,7169,,,,,,,,
59451965,59451965,2.56,3.98,18.23,35.45,0.92,6437,,,,,,,,
68166374,68166374,2.37,4.38,10.13,35.69,1.24,7244,,,,,,,,
74737542,74737542,2.36,2.70,12.86,38.59,1.13,6972,,,,,,,,
15290489,15290489,3.00,2.77,18.23,37.81,1.67,6331,,,,,,,,
65906871,65906871,1.58,3.81,17.18,35.17,1.21,6730,,,,,,,,
77801918,77801918,1.64,4.33,18.08,34.44,1.31,6641,,,,,,,,
85241926,85241926,1.51,3.62,16.91,37.93,1.62,6513,,,,,,,,
27098054,27098054,2.10,3.82,12.63,36.44,1.24,6865,,,,,,,,
26374115,26374115,1.82,3.91,11.31,37.87,1.10,7031,,,,,,,,
41529551E1,41529551E1,2.07,3.48,14.24,32.03,1.28,7004,,,,,,,,
93112259E1,93112259E1,3.07,4.98,13.06,35.68,1.18,6830,,,,,,,,
38648184E1,38648184E1,1.82,4.85,14.10,37.51,1.37,6924,,,,,,,,
37260943E1,37260943E1,1.55,5.15,14.86,35.12,1.29,6928,,,,,,,,
28151377E1,28151377E1,0.52,4.29,11.04,40.82,1.78,7219,,,,,,,,
