,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,,
,,,,,,24-feb-10,,,,,,,,,
CONTROL CARBON PROMEDIO 1,,,,,,,,,,,,,,,
MUESTRA,,ANALISIS 20/02/2016 HASTA 03/03/2016 ,,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,,
73057031,73057031,2.18,3.69,11.54,38.93,1.70,7036,,,,,,,,
72388494,72388494,2.42,3.61,14.17,37.52,1.06,6741,,,,,,,,
49801701,49801701,2.12,2.90,16.98,36.63,1.76,6548,,,,,,,,
85712087,85712087,2.53,5.20,18.89,34.04,1.72,6413,,,,,,,,
50663756,50663756,1.75,2.56,13.83,36.19,0.91,7030,,,,,,,,
12279809,12279809,2.37,2.05,14.52,38.13,1.22,6747,,,,,,,,
75324752,75324752,3.00,2.32,12.04,39.40,1.07,6882,,,,,,,,
74256052,74256052,2.81,3.84,14.36,38.06,1.58,6694,,,,,,,,
82170268,82170268,3.29,5.31,13.33,38.22,1.43,6694,,,,,,,,
57048584,57048584,2.29,3.34,18.07,33.41,1.68,6543,,,,,,,,
31950749,31950749,2.47,3.30,19.99,38.27,2.36,6230,,,,,,,,
24667679,24667679,2.58,3.17,10.84,39.26,1.09,7039,,,,,,,,
75545363,75545363,1.60,1.95,16.67,36.33,1.28,6764,,,,,,,,
23105896,23105896,2.48,3.59,16.16,37.69,1.45,6535,,,,,,,,
77936245,77936245,1.60,2.53,19.46,36.79,1.35,6492,,,,,,,,
20752522,20752522,1.84,2.99,14.40,37.51,1.17,6906,,,,,,,,
29497309,29497309,2.00,2.40,16.25,38.57,1.29,6680,,,,,,,,
55420969,55420969,2.51,3.70,14.31,39.20,1.48,6706,,,,,,,,
75708960,75708960,0.79,1.04,18.11,32.17,0.84,6933,,,,,,,,
43185879,43185879,1.79,1.56,15.30,38.74,1.87,6799,,,,,,,,
27652063,27652063,4.37,5.79,16.02,38.62,1.41,6213,,,,,,,,
47477440,47477440,2.73,4.18,13.26,38.42,1.73,6790,,,,,,,,
61823777,61823777,6.31,5.81,17.58,37.36,1.49,5912,,,,,,,,
13620386,13620386,5.92,5.54,12.38,38.93,1.40,6429,,,,,,,,
37328092,37328092,1.33,0.84,16.45,35.68,1.36,6868,,,,,,,,
86574839,86574839,1.05,4.15,19.14,31.44,2.30,6703,,,,,,,,
11586817,11586817,3.24,8.38,16.97,38.57,1.62,6261,,,,,,,,
27521221,27521221,1.24,4.95,18.19,32.59,2.02,6731,,,,,,,,
33605339,33605339,2.02,4.20,15.14,37.43,1.01,6731,,,,,,,,
15818541,15818541,5.20,8.20,15.06,38.87,1.38,6200,,,,,,,,
38776243,38776243,2.49,4.91,18.47,34.91,1.55,6417,,,,,,,,
48378126,48378126,1.65,1.84,13.05,39.15,1.89,7045,,,,,,,,
38880293,38880293,5.95,7.31,16.37,38.10,1.61,5996,,,,,,,,
13631247,13631247,1.55,2.53,16.64,33.35,1.03,6753,,,,,,,,
66028515,66028515,1.74,2.62,17.92,36.43,1.37,6609,,,,,,,,
64277256,64277256,1.82,3.26,13.37,37.79,1.56,7009,,,,,,,,
48857386,48857386,1.79,3.55,18.37,33.66,1.69,6603,,,,,,,,
81384450,81384450,2.25,5.26,16.16,38.21,1.68,6609,,,,,,,,
77807413,77807413,1.42,2.90,16.01,34.51,1.37,6878,,,,,,,,
16814892,16814892,1.42,2.17,19.88,34.65,1.68,6523,,,,,,,,
57872516,57872516,1.74,3.04,13.03,37.35,1.56,7036,,,,,,,,
69028879,69028879,1.92,3.81,14.50,37.81,2.51,6897,,,,,,,,
89884124,89884124,1.36,2.31,15.82,34.84,1.44,6898,,,,,,,,
19625992,19625992,1.49,2.04,15.65,36.21,1.40,6893,,,,,,,,
11327746,11327746,2.54,4.45,10.95,39.12,1.44,7003,,,,,,,,
51711438,51711438,2.13,3.83,11.46,38.23,1.41,7047,,,,,,,,
41379085,41379085,2.75,4.01,22.84,31.83,1.60,6030,,,,,,,,
29882250,29882250,2.03,3.10,15.73,37.30,1.21,6687,,,,,,,,
52093420,52093420,2.78,4.56,15.70,38.78,1.82,6621,,,,,,,,
13470475,13470475,1.12,1.16,18.62,35.08,1.70,6696,,,,,,,,
14181262,14181262,5.03,8.36,15.97,38.35,1.47,6131,,,,,,,,
78328178,78328178,1.96,3.36,11.95,39.04,1.65,7077,,,,,,,,
88701205,88701205,5.90,7.03,12.11,39.21,1.21,6416,,,,,,,,
11529802,11529802,6.43,5.82,14.27,38.79,1.52,6186,,,,,,,,
20371573,20371573,2.63,4.52,13.72,39.94,1.81,6738,,,,,,,,
64430869,64430869,1.78,2.30,17.43,36.15,1.27,6646,,,,,,,,
28425078,28425078,2.55,3.26,21.58,31.75,1.50,6248,,,,,,,,
