,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,
,,,,,,24-feb-10,,,,,,,,
CONTROL CARBON PROMEDIO 1,,,,,,,,,,,,,,
MUESTRA,,ANALISIS  22/04/2016 AL 04/05/2016,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,
28790657,28790657,0.63,2.77,17.45,28.09,0.87,6991,,,,,,,
67989762,67989762,1.23,2.49,16.90,35.39,1.45,6756,,,,,,,
42717277,42717277,0.84,2.84,17.78,29.08,0.88,6920,,,,,,,
71920023,71920023,1.57,4.36,16.21,37.38,1.44,6707,,,,,,,
14201246,14201246,1.30,4.97,15.60,36.31,1.42,6855,,,,,,,
75742273,75742273,1.31,3.88,15.64,36.19,1.44,6882,,,,,,,
28244385,28244385,2.08,6.44,12.59,39.05,2.61,6848,,,,,,,
43882467,43882467,1.43,4.95,14.43,33.69,1.52,7024,,,,,,,
85791126,85791126,3.91,10.64,16.25,38.55,1.38,6180,,,,,,,
72175079,72175079,0.84,2.69,18.21,27.43,0.94,6892,,,,,,,
65954237,65954237,0.77,2.73,18.55,28.03,0.99,6912,,,,,,,
65627245,65627245,2.06,7.33,17.81,32.96,2.22,6599,,,,,,,
70212953,70212953,2.09,5.18,13.48,37.05,0.82,6915,,,,,,,
43389507,43389507,1.37,3.67,11.53,38.22,1.68,7255,,,,,,,
74250568,74250568,1.53,6.40,16.56,36.78,1.29,6620,,,,,,,
78033005,78033005,1.22,3.76,14.13,36.80,1.59,7019,,,,,,,
18415978,18415978,1.21,3.90,15.83,34.49,1.29,6936,,,,,,,
43654666,43654666,3.62,11.63,13.42,37.88,1.70,6333,,,,,,,
84037429,84037429,0.93,3.68,14.42,33.23,1.17,7175,,,,,,,
98061464,98061464,1.20,3.60,16.78,35.88,2.20,6787,,,,,,,
40237880,40237880,2.38,9.09,13.69,37.25,1.47,6719,,,,,,,
21273736,21273736,1.85,4.05,16.00,37.28,1.53,6745,,,,,,,
22985320,22985320,1.28,3.80,15.16,36.30,0.79,6943,,,,,,,
45459947,45459947,1.97,6.53,17.52,37.84,2.02,6462,,,,,,,
46765309,46765309,2.21,5.50,11.78,38.20,1.55,7004,,,,,,,
65408734,65408734,1.48,3.45,13.46,37.35,1.50,6944,,,,,,,
36375777,36375777,2.61,7.80,17.09,38.06,1.89,6336,,,,,,,
13246955,13246955,3.11,6.86,17.21,37.62,1.42,6313,,,,,,,
88642837,88642837,1.24,2.31,14.85,36.63,1.53,6998,,,,,,,
25135483,25135483,1.73,3.61,11.21,37.92,1.71,7219,,,,,,,
26570187,26570187,1.77,3.90,17.82,37.51,1.57,6560,,,,,,,
40472454,40472454,1.24,4.64,13.17,38.03,3.02,7121,,,,,,,
75697793,75697793,1.97,5.40,18.53,36.17,1.52,6448,,,,,,,
15855546,15855546,1.12,4.23,12.97,34.57,1.27,7293,,,,,,,
54107038,54107038,2.78,8.35,15.42,37.73,1.62,6588,,,,,,,
43860243,43860243,1.65,6.87,15.06,36.38,1.36,6894,,,,,,,
53411019,53411019,2.20,5.88,13.64,37.75,1.70,6890,,,,,,,
33071081,33071081,1.55,4.40,15.55,36.22,1.40,6906,,,,,,,
50516991,50516991,1.17,2.82,17.28,35.10,1.58,6845,,,,,,,
43148361,43148361,3.08,10.41,13.33,39.99,1.43,6583,,,,,,,
64317987,64317987,1.95,4.00,7.07,39.56,1.28,7557,,,,,,,
12374446,12374446,3.60,11.20,14.91,38.51,1.46,6346,,,,,,,
39217317,39217317,1.41,4.78,17.13,33.26,1.47,6776,,,,,,,
62290680,62290680,1.60,3.93,15.49,35.67,1.07,6862,,,,,,,
90336938,90336938,2.18,5.85,13.80,36.98,1.09,6872,,,,,,,
13852095,13852095,2.16,5.76,14.45,37.99,1.33,6773,,,,,,,
77498153,77498153,2.31,4.56,10.17,39.32,1.45,7161,,,,,,,
78482121,78482121,2.49,7.52,14.20,38.07,1.97,6720,,,,,,,
81171721,81171721,2.28,7.63,16.98,36.58,1.38,6556,,,,,,,
94327561,94327561,2.14,5.88,14.61,36.94,0.88,6843,,,,,,,
55220300,55220300,1.96,4.30,7.35,39.01,1.22,7516,,,,,,,
77055541,77055541,1.95,4.99,17.52,36.51,1.41,6585,,,,,,,
75222127,75222127,3.85,10.57,19.00,36.93,1.92,6004,,,,,,,
51391391,51391391,2.65,9.37,17.30,35.93,1.69,6372,,,,,,,
93851752,93851752,1.99,4.01,17.88,37.44,1.50,6551,,,,,,,
20819635,20819635,2.17,4.92,21.56,33.50,0.89,6183,,,,,,,
31679022,31679022,1.66,5.07,17.04,34.55,1.29,6766,,,,,,,
40549279,40549279,2.92,4.50,9.22,40.39,1.34,7130,,,,,,,
